longitude,latitude,depth,dist_to_land,avg_wave_height,ncf,lcoe,substructure,capacity,fixed_bottom,net_value,avg_wind_speed,score
-79.9487,28.2353,141.91,48.74,1.3,0.38,134,Semi,0.28,False,-89.0,7.25,-33.82
-79.8408,28.2189,289.53,56.57,1.28,0.38,137,Semi,0.28,False,-93.0,7.25,-35.34
-79.7329,28.2023,455.41,56.76,1.35,0.37,143,Semi,0.28,False,-99.0,7.25,-36.63
-79.6251,28.1856,696.91,56.33,1.4,0.37,150,Semi,0.33,False,-106.0,7.25,-39.22
-79.5173,28.1688,789.15,57.22,1.4,0.36,155,Semi,0.33,False,-111.0,7.25,-39.96
-79.4095,28.1519,736.57,59.96,1.4,0.35,156,Semi,0.33,False,-112.0,6.75,-39.199999999999996
-80.3474,28.3842,19.03,14.07,0.47,0.37,116,Monopile,0.28,True,-72.0,6.75,-26.64
-80.2547,28.3802,30.33,22.69,0.87,0.37,128,Jacket,0.28,True,-83.0,7.25,-30.71
-80.1465,28.3641,43.18,31.9,1.36,0.37,133,Semi,0.28,False,-89.0,7.25,-32.93
-80.0384,28.3478,74.13,41.97,1.36,0.37,134,Semi,0.28,False,-90.0,7.25,-33.3
-79.9303,28.3315,181.66,52.25,1.36,0.38,136,Semi,0.28,False,-92.0,7.25,-34.96
-79.8223,28.315,335.25,60.8,1.36,0.38,139,Semi,0.28,False,-95.0,7.25,-36.1
-79.7143,28.2984,501.09,63.43,1.44,0.37,146,Semi,0.28,False,-102.0,7.25,-37.74
-79.6063,28.2817,742.15,65.59,1.45,0.36,154,Semi,0.33,False,-110.0,7.25,-39.6
-79.4984,28.2649,788.16,67.82,1.44,0.36,156,Semi,0.33,False,-111.0,6.75,-39.96
-79.3905,28.248,756.34,70.15,1.43,0.36,157,Semi,0.33,False,-112.0,6.75,-40.32
-80.2354,28.4749,35.47,29.68,1.04,0.36,134,Jacket,0.28,True,-90.0,7.25,-32.4
-80.1283,28.4602,50.65,36.74,1.36,0.36,135,Semi,0.28,False,-90.0,7.25,-32.4
-80.02,28.444,94.14,45.81,1.36,0.37,135,Semi,0.28,False,-91.0,7.25,-33.67
-79.9118,28.4276,229.66,55.39,1.36,0.38,137,Semi,0.28,False,-93.0,7.25,-35.34
-79.8037,28.4111,386.75,64.02,1.36,0.38,141,Semi,0.28,False,-96.0,7.25,-36.480000000000004
-79.6955,28.3945,568.49,69.44,1.46,0.37,148,Semi,0.28,False,-103.0,7.25,-38.11
-79.5875,28.3778,785.68,74.6,1.46,0.37,154,Semi,0.33,False,-110.0,7.25,-40.7
-79.4794,28.361,784.91,78.47,1.46,0.37,155,Semi,0.33,False,-111.0,6.75,-41.07
-79.3714,28.3441,786.13,80.53,1.46,0.37,156,Semi,0.33,False,-111.0,6.75,-41.07
-79.2635,28.327,814.45,82.62,1.48,0.37,157,Semi,0.33,False,-112.0,7.25,-41.44
-80.2066,28.5707,41.01,37.26,1.27,0.36,141,Jacket,0.28,True,-96.0,6.75,-34.56
-80.11,28.5564,59.76,41.98,1.36,0.36,137,Semi,0.28,False,-92.0,7.25,-33.12
-80.0017,28.5401,126.63,50.12,1.36,0.37,136,Semi,0.28,False,-92.0,7.25,-34.04
-79.8933,28.5237,276.19,58.98,1.36,0.37,139,Semi,0.28,False,-94.0,7.25,-34.78
-79.785,28.5072,438.10,67.61,1.38,0.38,142,Semi,0.28,False,-98.0,7.25,-37.24
-79.6768,28.4906,644.65,75.5,1.46,0.37,148,Semi,0.28,False,-104.0,7.25,-38.48
-79.4604,28.457,790.34,88.72,1.46,0.37,156,Semi,0.33,False,-112.0,6.75,-41.44
-79.3523,28.4401,811.23,90.68,1.46,0.37,157,Semi,0.33,False,-113.0,7.25,-41.81
-79.2442,28.4231,826.44,92.67,1.49,0.37,159,Semi,0.33,False,-114.0,7.25,-42.18
-79.1362,28.4059,842.93,96.5,1.52,0.37,160,Semi,0.33,False,-116.0,7.25,-42.92
-79.0282,28.3886,843.14,101.32,1.52,0.37,161,Semi,0.33,False,-116.0,7.25,-42.92
-78.9203,28.3713,858.29,106.32,1.52,0.37,162,Semi,0.33,False,-117.0,7.25,-43.29
-78.8124,28.3538,870.62,112.88,1.52,0.37,163,Semi,0.33,False,-119.0,7.25,-44.03
-78.7045,28.3362,901.18,119.77,1.56,0.37,165,Semi,0.33,False,-121.0,7.25,-44.769999999999996
-78.5983,28.3224,926.49,127.06,1.56,0.37,167,Semi,0.33,False,-122.0,7.25,-45.14
-78.4878,28.3137,955.79,135.87,1.56,0.37,168,Semi,0.33,False,-124.0,7.25,-45.88
-80.4145,28.7138,20.43,31.58,0.48,0.37,124,Monopile,0.28,True,-80.0,6.75,-29.6
-80.305,28.6993,29.00,38.65,0.47,0.37,130,Jacket,0.28,True,-86.0,6.75,-31.82
-80.1997,28.669,44.21,43.85,1.32,0.36,138,Semi,0.28,False,-94.0,6.75,-33.839999999999996
-80.0917,28.6525,70.88,49.97,1.36,0.37,137,Semi,0.28,False,-93.0,7.25,-34.41
