wfarm_id,Longitude,Latitude,reeds_region,Depth,Dist_S_to_L,Hs_Average,NCF,LCOE,type_min_lcoe,capacity,isfixed,State,LACE,Net value,Wind speed
4887,-67.1455,44.2898,356,153.97,36.93,0.99,0.62,81,Semi,0.28,FALSE,Maine,93,11,9.5 - 10.0
4756,-68.3867,43.6488,356,178.18,25.94,1.31,0.61,81,Semi,0.28,FALSE,Maine,93,11,9.5 - 10.0
4886,-67.2583,44.3114,356,157.44,36.04,0.82,0.61,81,Semi,0.28,FALSE,Maine,93,11,9.5 - 10.0
4738,-68.5536,43.5838,356,137.96,28.85,1.31,0.61,82,Semi,0.28,FALSE,Maine,93,11,9.5 - 10.0
4713,-69.2348,43.6270,356,130.27,15.55,1.14,0.59,82,Semi,0.28,FALSE,Maine,93,11,9.5 - 10.0
4733,-69.1975,43.7198,356,97.42,8.92,1.07,0.57,82,Semi,0.22,FALSE,Maine,93,11,9.0 - 9.5
7590,-81.3995,41.7240,234,8.60,0.01,0.56,0.49,82,Monopile,0.22,TRUE,Ohio,55,-27,8.0 - 8.5
4732,-69.3288,43.7248,356,83.94,3.51,1.05,0.56,82,Semi,0.22,FALSE,Maine,93,11,9.0 - 9.5
3816,-69.9217,41.1633,349,15.99,8.36,1.42,0.58,82,Monopile,0.22,TRUE,Massachusetts,93,11,9.0 - 9.5
4803,-68.1419,43.8986,356,162.28,24.91,1.17,0.60,82,Semi,0.22,FALSE,Maine,93,11,9.5 - 10.0
4737,-68.6821,43.6113,356,145.11,27.82,1.31,0.61,82,Semi,0.28,FALSE,Maine,93,11,9.5 - 10.0
4885,-67.3877,44.3401,356,131.30,34.32,0.71,0.61,82,Semi,0.28,FALSE,Maine,93,11,9.5 - 10.0
3806,-71.1725,41.4172,346,20.91,0.00,0.62,0.53,82,Monopile,0.22,TRUE,Rhode Island,93,11,8.5 - 9.0
3807,-71.0472,41.3932,348,21.79,0.00,0.62,0.55,82,Monopile,0.22,TRUE,Massachusetts,104,21,8.5 - 9.0
4739,-68.4251,43.5563,356,168.11,33.78,1.31,0.61,82,Semi,0.28,FALSE,Maine,93,10,9.5 - 10.0
4753,-68.7729,43.7313,356,104.82,24.51,1.06,0.59,82,Semi,0.22,FALSE,Maine,93,11,9.5 - 10.0
5142,-97.2832,26.7167,174,12.64,32.08,1.19,0.53,82,Monopile,0.19,TRUE,Texas,50,-32,8.5 - 9.0
4773,-68.2195,43.7136,356,183.81,27.76,1.34,0.61,82,Semi,0.28,FALSE,Maine,93,10,9.5 - 10.0
4734,-69.0685,43.6929,356,96.32,19.61,1.19,0.59,82,Semi,0.28,FALSE,Maine,93,11,9.5 - 10.0
3770,-71.1965,41.3257,346,30.68,1.51,0.62,0.56,82,Jacket,0.22,TRUE,Rhode Island,93,11,9.0 - 9.5
4691,-69.4008,43.5610,356,126.79,20.41,1.05,0.59,82,Semi,0.28,FALSE,Maine,93,10,9.0 - 9.5
4692,-69.2720,43.5343,356,144.38,24.49,1.10,0.59,82,Semi,0.28,FALSE,Maine,93,10,9.5 - 10.0
4736,-68.8108,43.6386,356,122.60,28.75,1.20,0.60,83,Semi,0.28,FALSE,Maine,93,10,9.5 - 10.0
3890,-69.8514,41.3487,349,14.52,25.32,0.70,0.58,83,Monopile,0.22,TRUE,Massachusetts,93,10,9.0 - 9.5
4752,-68.9023,43.7583,356,62.17,27.77,0.81,0.59,83,Semi,0.22,FALSE,Maine,93,10,9.5 - 10.0
3844,-71.0095,41.4768,348,12.92,0.00,0.62,0.52,83,Monopile,0.19,TRUE,Massachusetts,104,21,8.5 - 9.0
4814,-68.4901,44.0733,356,33.33,0.81,0.94,0.56,83,Jacket,0.22,TRUE,Maine,93,10,8.5 - 9.0
7999,-87.4984,44.3018,197,12.24,10.17,0.63,0.52,83,Monopile,0.22,TRUE,Wisconsin,53,-29,7.5 - 8.0
7517,-87.6494,42.0847,206,8.90,0.00,0.48,0.53,83,Monopile,0.22,TRUE,Illinois,57,-26,7.0 - 7.5
7917,-87.6816,43.9234,197,14.81,0.63,0.57,0.52,83,Monopile,0.22,TRUE,Wisconsin,53,-29,7.5 - 8.0
4905,-67.2655,44.6100,356,42.38,6.03,0.82,0.58,83,Jacket,0.22,TRUE,Maine,93,10,8.5 - 9.0
